species,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points
Arabica,8.67,8.83,8.67,8.75,8.5,8.42,10,10,10,8.75
Arabica,8.75,8.67,8.5,8.58,8.42,8.42,10,10,10,8.58
Arabica,8.42,8.5,8.42,8.42,8.33,8.42,10,10,10,9.25
Arabica,8.17,8.58,8.42,8.42,8.5,8.25,10,10,10,8.67
Arabica,8.25,8.5,8.25,8.5,8.42,8.33,10,10,10,8.58
Arabica,8.58,8.42,8.42,8.5,8.25,8.33,10,10,10,8.33
Arabica,8.42,8.5,8.33,8.5,8.25,8.25,10,10,10,8.5
Arabica,8.25,8.33,8.5,8.42,8.33,8.5,10,10,9.33,9
Arabica,8.67,8.67,8.58,8.42,8.33,8.42,9.33,10,9.33,8.67
Arabica,8.08,8.58,8.5,8.5,7.67,8.42,10,10,10,8.5
Arabica,8.17,8.67,8.25,8.5,7.75,8.17,10,10,10,8.58
Arabica,8.25,8.42,8.17,8.33,8.08,8.17,10,10,10,8.5
Arabica,8.08,8.67,8.33,8.42,8,8.08,10,10,10,8.33
Arabica,8.33,8.42,8.08,8.25,8.25,8,10,10,10,8.58
Arabica,8.25,8.33,8.5,8.25,8.58,8.75,9.33,10,9.33,8.5
Arabica,8,8.5,8.58,8.17,8.17,8,10,10,10,8.17
Arabica,8.33,8.25,7.83,7.75,8.5,8.42,10,10,10,8.33
Arabica,8.17,8.33,8.25,8.33,8.42,8.33,9.33,10,9.33,8.83
Arabica,8.42,8.25,8.08,8.17,7.92,8,10,10,10,8.42
Arabica,8.17,8.17,8,8.17,8.08,8.33,10,10,10,8.33
Arabica,8,8.25,8.08,8.5,8.25,8,10,10,10,8.17
Arabica,8.08,8.25,8,8.17,8,8.33,10,10,10,8.33
Arabica,8.17,8.25,8.17,8,7.83,8.17,10,10,10,8.58
Arabica,8.25,8.33,8.17,8.17,7.83,8.17,10,10,10,8.17
Arabica,8.42,8.17,7.92,8.17,8.33,8,10,10,10,8.08
Arabica,8.5,8.5,8,8,8,8,10,10,10,7.92
Arabica,7.83,8.25,8.08,8.17,8.17,8.17,10,10,10,8.25
Arabica,8.42,8.17,8.17,8.17,7.83,7.92,10,10,10,8.17
Arabica,8.17,8.08,8.08,8,8.08,8,10,10,10,8.25
Arabica,8,8,8,8.25,8,8.17,10,10,10,8.17
Arabica,7.92,8.25,8,8.33,8,8.08,10,10,10,8
Arabica,8.42,8.17,8.17,8,7.58,8,10,10,10,8.17
Arabica,8.5,8.17,8,7.75,8,8,10,10,10,8
Arabica,8.17,7.83,8,8.08,7.83,8,10,10,10,8.42
Arabica,8,8.08,7.92,8,8.08,8.08,10,10,10,8.08
Arabica,8.08,8,8,8.25,7.92,7.92,10,10,10,8.08
Arabica,8.08,8.17,8,7.92,7.92,7.83,10,10,10,8.33
Arabica,8.25,8.42,8.08,7.75,7.67,7.83,10,10,10,8.25
Arabica,7.92,7.75,8.08,8.08,8.08,8.17,10,10,10,8.17
Arabica,7.67,8.17,8,8,8.17,8.08,10,10,10,8.08
Arabica,7.83,8.33,7.83,8.25,7.58,7.92,10,10,10,8.42
Arabica,8.17,7.92,7.92,7.75,8.33,8,10,10,10,8.08
Arabica,8.42,7.92,8,7.75,7.92,8,10,10,10,8.17
Arabica,8.08,8.17,7.75,8.08,7.75,7.83,10,10,10,8.42
Arabica,8.08,8.08,8,8,7.83,8.08,10,10,10,8
Arabica,8.33,8,8,8,7.75,8,10,10,10,8
Arabica,8.08,8.08,7.83,7.92,8.08,7.92,10,10,10,8.08
Arabica,7.75,7.92,7.83,8.08,8.08,8.17,10,10,10,8.17
Arabica,7.92,8.17,7.83,8.5,7.5,7.92,10,10,10,8.17
Arabica,8.25,8,7.83,8.08,8,7.92,10,10,10,7.92
Arabica,7.75,8.08,8,8.25,8,8,10,10,10,7.92
Arabica,8.33,8.17,7.75,8,7.75,7.83,10,10,10,8.17
